distance_km,hour_of_day,is_peak_hour,organ_priority_weight,eta_minutes
1202.258,20,1,0.7,193.7
6.896,10,1,1.0,31.61
1365.112,18,1,0.7,243.0
16.595,21,1,0.9,65.14
8.614,11,1,0.7,35.84
955.33,19,1,1.0,206.11
1530.087,11,1,0.7,257.48
17.292,8,1,0.9,59.5
1753.411,1,0,0.7,287.54
847.479,17,1,1.0,178.68
8.493,10,1,0.3,35.23
1364.881,18,1,0.9,210.69
625.101,4,0,1.0,163.71
18.238,18,1,1.0,68.14
16.891,2,0,0.9,44.82
512.577,10,1,0.3,141.73
20.958,7,0,1.0,44.46
13.261,22,0,0.7,33.88
16.913,0,0,0.3,54.89
29.144,7,0,0.9,72.98
518.462,21,1,0.9,128.0
33.25,21,1,1.0,115.15
1735.218,7,0,0.3,289.96
19.221,10,1,1.0,74.56
131.598,2,0,0.7,122.55
1464.259,17,1,0.9,291.37
937.202,11,1,1.0,170.04
16.641,22,0,0.9,41.17
26.678,5,0,0.3,72.67
1756.982,13,0,1.0,249.13
21.89,4,0,0.7,55.69
2000.758,22,0,0.9,260.58
1130.487,22,0,1.0,219.74
999.614,18,1,0.9,203.2
4.568,11,1,0.7,24.47
24.677,11,1,0.7,93.89
2315.382,15,0,0.7,354.37
7.187,23,0,0.3,33.27
512.652,22,0,1.0,145.44
12.774,5,0,0.7,43.37
8.881,2,0,0.7,34.61
8.767,2,0,0.3,30.98
1562.321,22,0,1.0,281.13
542.252,2,0,0.9,154.31
30.75,10,1,0.9,102.56
246.537,16,0,0.3,90.53
30.173,18,1,1.0,80.47
2078.124,2,0,0.7,356.14
21.073,4,0,1.0,43.43
23.846,12,0,1.0,59.3
499.657,4,0,0.7,150.09
17.062,6,0,0.7,51.66
12.349,9,1,1.0,48.24
8.719,14,0,1.0,23.89
5.038,5,0,0.7,20.71
4.203,19,1,0.7,30.19
5.816,12,0,1.0,20.25
3.646,1,0,0.7,14.12
447.365,3,0,1.0,144.07
12.575,16,0,1.0,37.41
14.695,20,1,0.7,55.44
13.064,7,0,1.0,41.76
16.331,7,0,1.0,46.81
24.143,17,1,0.7,86.8
3.04,18,1,1.0,19.42
26.163,7,0,1.0,53.47
24.592,7,0,0.7,70.85
2.285,14,0,0.7,21.37
482.684,13,0,0.7,150.49
16.355,20,1,0.9,67.14
1642.162,13,0,1.0,222.68
5.198,9,1,0.7,23.47
27.428,20,1,0.7,109.13
1.562,17,1,0.7,16.59
1572.017,2,0,0.7,257.01
16.752,11,1,0.3,68.03
21.184,1,0,0.3,51.45
1995.379,21,1,0.3,284.72
2.749,15,0,0.9,16.13
885.266,6,0,0.7,202.22
28.832,13,0,0.3,59.01
6.709,6,0,0.7,23.94
13.114,9,1,0.9,50.14
19.527,0,0,1.0,46.93
2011.552,7,0,0.7,314.25
22.16,0,0,0.3,58.53
11.118,2,0,0.7,31.32
27.786,5,0,0.3,81.84
1747.37,19,1,0.7,284.56
23.282,20,1,0.7,93.61
1664.921,3,0,1.0,236.19
1346.915,3,0,0.7,217.58
22.829,7,0,1.0,58.5
11.483,18,1,0.7,46.92
21.203,12,0,0.3,60.87
24.059,22,0,0.3,63.89
16.173,17,1,0.7,70.96
24.457,0,0,1.0,58.84
1607.355,17,1,0.7,277.27
2317.734,7,0,1.0,302.59
1377.226,2,0,0.3,250.2
30.998,16,0,0.9,66.81
4.453,18,1,0.9,21.92
19.674,9,1,0.7,69.45
14.969,20,1,0.3,64.91
1.646,9,1,1.0,20.85
20.783,10,1,0.7,83.16
24.813,7,0,0.7,60.59
29.353,10,1,0.3,112.09
29.489,0,0,1.0,73.03
22.211,12,0,0.9,52.5
26.099,1,0,0.7,73.36
1499.005,15,0,0.9,225.7
6.698,17,1,0.9,31.81
23.441,22,0,0.7,59.37
1766.83,17,1,0.9,287.29
8.726,17,1,0.9,38.66
18.808,7,0,1.0,49.52
1897.497,5,0,1.0,300.7
14.023,17,1,1.0,57.36
1508.964,16,0,0.9,279.7
5.754,19,1,1.0,34.16
1882.63,17,1,0.7,313.21
18.005,6,0,0.3,48.07
2.28,19,1,1.0,23.98
20.533,15,0,1.0,48.12
5.935,21,1,1.0,30.37
19.045,2,0,1.0,52.72
12.823,11,1,1.0,50.39
17.747,5,0,0.3,47.71
16.194,3,0,1.0,44.84
31.547,6,0,0.7,71.47
7.865,9,1,0.7,32.06
21.27,8,1,1.0,75.07
13.265,23,0,1.0,37.2
3.266,0,0,0.7,21.12
1243.286,1,0,1.0,225.53
1.985,15,0,0.7,12.52
12.263,21,1,0.7,56.75
3.173,21,1,1.0,18.72
18.642,3,0,0.7,49.54
37.506,1,0,1.0,76.05
937.014,19,1,1.0,211.58
553.907,22,0,0.9,136.27
26.954,7,0,0.7,68.98
26.528,6,0,0.9,59.96
8.391,13,0,1.0,30.65
10.443,23,0,0.3,37.41
28.898,22,0,0.7,72.74
13.996,10,1,1.0,51.36
1584.665,13,0,1.0,255.6
427.671,9,1,0.7,131.71
1630.069,10,1,1.0,255.48
410.176,15,0,0.7,119.62
